name,category,age_min,age_max,depth_min_L,depth_max_L,problem,model,scale_note,does,does_not,source_url
ABCmouse (Age of Learning),early-childhood,2,8,0,0,early literacy/numeracy gap,paid subscription,~50M children lifetime; ~$750M raised; $1B+ valuation,Game-like reading/math/art/science curriculum for ages 2-8,No live tutoring or district assessment products,https://www.crunchbase.com/organization/age-of-learning
Khan Academy Kids,early-childhood,2,8,0,0,early literacy/numeracy gap,free (nonprofit),Backed by Khan Academy ($117.5M FY25 rev; 77% philanthropic),Free ad-free early literacy/math/SEL app,No ads/paid tier; no formal assessment,https://www.khanacademy.org/kids
Duolingo ABC,early-childhood,3,7,0,0,early literacy (learn-to-read),free (loss-leader),Part of Duolingo Inc (NASDAQ DUOL); free no ads,Free phonics/letter-tracing learn-to-read app,No foreign-language teaching; no paid tier,https://play.google.com/store/apps/details?id=com.duolingo.literacy
Lingokids,early-childhood,2,8,0,0,early literacy/numeracy gap,freemium subscription,185M families reached; ~$186M raised incl $120M Series D 2025,Playlearning app: English/math/literacy/science/SEL games,No older K-12 students; no live classes,https://bullhoundcapital.com/articles/bullhound-capital-leads-lingokids-120m-round/
Homer (Begin),early-childhood,2,8,0,0,early literacy/numeracy gap,paid subscription,Owned by Begin; Begin raised $50M in 2023,Personalized early reading/math/SEL app,No K-12 academics; no tutoring,https://www.crunchbase.com/organization/learn-with-homer
Khan Academy,k12-platform,5,18,0,2,learning crisis (content mastery),free (nonprofit),$117.5M FY25 revenue; 77% philanthropic,Free videos+practice across K-12 subjects (some early college),No live instruction; no marketplace; no frontier/research,https://www.khanacademy.org
Khanmigo,ai-tutor,5,18,0,2,personalization / 2-sigma tutoring,freemium ($4/mo learners; free teachers),Free to US teachers via Microsoft partnership,GPT-powered AI tutor/TA for K-12 subjects,Does not reach undergrad+ depth or research; bounded to curriculum,https://www.khanmigo.ai/pricing
IXL Learning,k12-platform,5,18,1,1,learning crisis (skill mastery),paid (consumer + institutional),17M+ students; 1M+ teachers,Adaptive K-12 practice across math/ELA/science/social studies,No video lectures; no live tutoring,https://www.myengineeringbuddy.com/blog/ixl-learning-reviews-pricing-2026-honest-look/
Duolingo,k12-language,8,99,0,2,language access; motivation/engagement,freemium,130M MAU; 10.3M paid subs; $230M/qtr (NASDAQ DUOL),Gamified language (+math/music) learning,No school-curriculum subjects; no live human classes,https://www.sec.gov/Archives/edgar/data/0001562088/000156208825000098/q1fy25duolingo3-31x25press.htm
Outschool,k12-live,3,18,0,2,enrichment / live small-group access,marketplace (30% commission),~$3B valuation 2021; ~$240M raised; ~$200M ARR,Marketplace of live small-group online classes by indie teachers,Produces no curriculum; not self-paced,https://research.contrary.com/company/outschool
DreamBox (Discovery Education),k12-adaptive,5,18,1,1,learning crisis (math/reading),institutional licenses,~6M students; acquired by Discovery Education 2023,Adaptive K-12 math and reading for schools,Not direct-to-consumer; no live tutoring,https://www.discoveryeducation.com/details/clearlake-capital-backed-discovery-education-completes-acquisition-of-dreambox-learning/
i-Ready (Curriculum Associates),k12-adaptive,5,14,1,1,learning crisis (diagnostic+instruction),institutional licenses,~13M US students (~1/3 of K-8),Adaptive K-8 diagnostic + personalized math/reading,Not direct-to-consumer; no live tutoring,https://www.curriculumassociates.com/about/press-releases/2025/09/back-to-school
Prodigy Math,k12-game,6,14,1,1,engagement / math practice,freemium,~$125M raised; ~$75M revenue est,Game-based math/English practice grades 1-8,No charge for core content; not a school assessment,https://www.crunchbase.com/organization/prodigy-game
Kaplan,test-prep,14,40,1,3,credential gatekeeping (exams),paid,~$967M revenue 2025; owned by Graham Holdings,Test prep for 100+ standardized/licensing exams,Not free/freemium; teaches to the test not deep mastery,"https://en.wikipedia.org/wiki/Kaplan,_Inc."
The Princeton Review,test-prep,14,30,1,3,credential gatekeeping (exams),paid,Owned by Primavera Capital,Test-prep courses+tutoring + admissions services,No free model; exam-focused,https://www.myengineeringbuddy.com/blog/the-princeton-review-reviews-alternatives-pricing-offerings-in-2025/
Magoosh,test-prep,16,40,1,3,credential gatekeeping (exams),paid subscription,Low-cost disruptor vs Kaplan/Princeton,Self-paced video+practice test prep (GRE/GMAT/SAT/etc),No live/in-person instruction,https://magoosh.com/
Chegg,tutoring,14,22,1,2,homework help / completion,paid subscription,Q1 2025 $121M rev (-30%); 3.2M subs (-31%); AI-disrupted,Subscription homework help + textbook solutions + tutoring,Not sold to districts; being disrupted by free AI,https://www.cnbc.com/2025/10/27/chegg-slashes-45percent-of-workforce-blames-new-realities-of-ai.html
Varsity Tutors (Nerdy),tutoring,5,40,1,3,personalization / tutoring access,consumer subs + institutional,Public (NYSE NRDY); ~$190M FY25 rev; 1100+ districts,Online live 1:1/small-group/large-format tutoring,No static curriculum products,https://www.businesswire.com/news/home/20260226513294/en/Nerdy-Announces-Fourth-Quarter-2025-Financial-Results
Wyzant,tutoring,10,99,1,3,personalization / tutoring access,marketplace (commission),Owned by IXL Learning (acq 2019),Online+in-person tutoring marketplace,Employs no tutors; sets no curriculum,https://www.crunchbase.com/organization/wyzant
Photomath (Google),tutoring,11,22,1,2,homework help (math),freemium,300M+ users; acquired by Google,Scan-an-equation step-by-step math solver,No broad curriculum; no human tutoring,https://en.wikipedia.org/wiki/Photomath
Google Classroom,lms,5,22,0,3,system logistics (assignments/grading),free (premium tiers paid),150M+ active users; ~9% global LMS share,Free LMS for assigning/distributing/grading work,Provides no curriculum/content itself,https://research.com/education/how-google-conquered-the-classroom
Canvas (Instructure),lms,5,22,0,3,system logistics (course management),institutional,Acquired by KKR for $4.8B 2024,Leading K-12/higher-ed LMS for course delivery+grading,Authors no curriculum content,https://www.instructure.com/press-release/instructure-to-be-acquired-by-KKR
Schoology (PowerSchool),lms,5,18,0,1,system logistics (LMS),institutional,Part of PowerSchool (acq Bain $5.6B 2024),K-12 LMS bundled in PowerSchool suite,Not direct-to-consumer,https://www.baincapital.com/news/powerschool-be-acquired-bain-capital-56-billion-transaction
PowerSchool,sis-lms,5,18,0,1,system logistics (SIS+LMS),institutional,60M+ students; 18K+ customers; Bain $5.6B,K-12 student info system + LMS + analytics,Not consumer-facing,https://www.powerschool.com/bain-capital/
Synthesis Tutor,ai-tutor,5,11,1,1,personalization / 2-sigma tutoring,paid subscription,Founded by Ad Astra co-founder Josh Dahn,AI adaptive math tutor for kids 5-11,Math-only; narrow age band; no human tutors,https://www.synthesis.com/tutor
Sizzle AI,ai-tutor,12,22,1,2,homework help (AI tutor),free (acquired),1.7M+ users; $7.5M seed; acquired by Campus 2025,Free step-by-step AI homework help across subjects,No structured curriculum; no live instruction,https://www.prnewswire.com/news-releases/campus-acquires-ai-startup-founded-by-former-meta-ai-chief-302580557.html
Quizlet,study-tools,12,22,1,2,study aids / retention practice,freemium,60M+ users; 500M+ flashcard sets,Flashcards + AI study tools; Q-Chat tutor (retired),Delivers no structured curriculum or live instruction,https://quizlet.com/blog/meet-q-chat
Coursera,higher-ed-mooc,16,65,2,3,higher-ed access; upskilling,freemium + enterprise + degree rev-share,$757M FY25 rev; 197M learners; acquiring Udemy ~$2.5B,University courses/certs/degrees marketplace,Confers no own accredited degrees; rarely reaches frontier/research,https://investor.coursera.com/news/news-details/2026/Coursera-Reports-Fourth-Quarter-and-Full-Year-2025-Financial-Results/default.aspx
edX (2U),higher-ed-mooc,16,65,2,3,higher-ed access,freemium + verified certs + OPM,Parent 2U Ch11 2024 emerged private; ~89M learners,MOOC platform + MicroMasters + online degrees,Not a standalone degree-granter,https://www.insidehighered.com/news/business/2024/07/26/long-embattled-2u-declares-bankruptcy
Udacity (Accenture),professional,18,65,2,3,tech upskilling (employability),subscription/program fees,Acquired by Accenture 2024; powers LearnVantage,Project-based Nanodegree tech programs,Not university-accredited degrees,https://newsroom.accenture.com/news/2024/accenture-completes-acquisition-of-udacity
FutureLearn,higher-ed-mooc,16,65,2,3,higher-ed access (UK),freemium + subscription + OPM,Owned by Global University Systems (2022),UK MOOC: courses/microcredentials/degrees,Not a degree-granter; smaller than Coursera/edX,https://en.wikipedia.org/wiki/FutureLearn
Noodle,opm,18,65,2,3,higher-ed online program delivery,B2B service/rev-share,$110M+ raised; 65+ university partners,Helps universities launch/run online programs,Not learner-facing; B2B services only,https://www.prnewswire.com/news-releases/noodle-announces-50-million-series-c-fundraise-301394334.html
General Assembly,bootcamp,18,45,2,3,tech upskilling (employability),tuition + corporate,Acquired by Adecco $413M 2018; 110K+ alumni,Immersive tech/digital bootcamps + corporate talent,Not accredited degrees,https://en.wikipedia.org/wiki/General_Assembly_(school)
Springboard,bootcamp,18,45,2,3,tech upskilling (employability),tuition (job guarantee),~$69M raised; Pearson/Reach Capital investors,Mentor-led online bootcamps with job guarantee,No ISAs; not accredited degrees,https://www.springboard.com/blog/news/series-b-funding/
BloomTech (Lambda School),bootcamp,18,45,2,3,tech upskilling (employability),collapsed ISA model,CFPB banned from consumer lending 2024; inflated job claims,Online coding bootcamp (historically ISA-financed),ISA model collapsed; restricted from lending,https://www.consumerfinance.gov/enforcement/actions/bloomtech-inc-and-austen-allred/
MIT OpenCourseWare,open-courseware,16,99,2,3,higher-ed access (free),free (nonprofit),2500+ courses; donor+MIT funded,Free web publication of MIT course materials,Grants no credit/certificate; no instructor interaction,https://ocw.mit.edu/
OpenStax,open-textbooks,16,65,1,3,textbook cost / OER access,free (philanthropy),50+ titles; 6M+ students; $1.5B+ savings,Free peer-reviewed openly-licensed college textbooks,Not a course platform; no instruction/credential,https://openstax.org/
Udemy,professional,16,65,1,3,upskilling (open marketplace),consumer sales + enterprise subs,$790M FY25 rev; being acquired by Coursera,Open marketplace of on-demand video courses,Not accredited; quality varies,https://www.sec.gov/Archives/edgar/data/0001607939/000119312525321719/d41058dex991.htm
LinkedIn Learning,professional,18,65,2,3,professional upskilling,subscription (indiv + enterprise),Owned by Microsoft (Lynda $1.5B 2015); 22K+ courses,Subscription library of business/tech/creative courses,Not accredited degrees; completion certs only,https://jobright.ai/blog/complete-linkedin-learning-guide/
Pluralsight,professional,18,65,2,3,tech upskilling,subscription (indiv + enterprise),Vista $3.5B 2021; 2024 lender takeover (~$4B writeoff),Tech-skills platform + skill assessments,Not accredited degrees,https://www.privateequitywire.co.uk/vista-and-co-investors-take-4bn-hit-in-pluralsight-private-credit-restructuring/
Skillshare,professional,18,65,1,2,creative upskilling,subscription,12M users; 600K+ active; ~$109M raised,Creator-led creative-skills classes,Not accredited; not career-credential focused,https://grokipedia.com/page/Skillshare
DataCamp,professional,16,65,2,3,data/AI upskilling,freemium + enterprise,3.3M+ users; ~$33M raised,Interactive browser-based data science/AI courses,Narrow domain; not accredited degrees,https://app.dealroom.co/companies/datacamp
Codecademy (Skillsoft),professional,14,65,1,3,coding/tech upskilling,freemium + enterprise,~40M learners pre-acq; Skillsoft $386M 2022,Interactive hands-on coding courses,Not accredited degrees,https://www.skillsoft.com/press-releases/skillsoft-to-acquire-codecademy-a-leading-platform-for-learning-high-demand-technical-skills-creating-a-worldwide-community-of-more-than-85-million-learners
Maven,professional,22,65,2,4,cohort-based expert upskilling,~10% instructor rev-share,$30M raised (a16z/First Round); ~75% completion,Tooling for live cohort-based courses,Not self-paced; not accredited; closed marketplace,https://www.prnewswire.com/news-releases/maven-raises-20-million-in-series-a-funding-led-by-andreessen-horowitz-301295905.html
Degreed,corporate-l&d,22,65,1,3,corporate L&D / skills mobility,enterprise SaaS,$367M raised; ~$1.4B valuation,LXP aggregating content + skills analytics,Produces no content; aggregates third-party,https://joshbersin.com/2021/04/learning-tech-pioneer-degreed-gets-new-ceo-now-valued-at-1-4-billion/
Cornerstone OnDemand,corporate-l&d,22,65,1,3,corporate L&D / talent mgmt,enterprise SaaS,Clearlake $5.2B 2021,Enterprise talent-management + LMS/LXP,Not consumer-facing,https://www.cornerstoneondemand.com/company/news-room/press-releases/cornerstone-ondemand-enters-definitive-agreement-to-be-acquired-by-clearlake-capital-group-in-dollar52-billion-transaction/
O'Reilly Learning,professional,18,65,2,4,tech/business upskilling,subscription,Private (O'Reilly Media); pivoted to subscription,Books/videos/live-training/labs + learning paths,Not accredited degrees,https://about.proquest.com/en/products-services/OReilly-for-Higher-Education/
MasterClass,lifelong,18,99,1,2,lifelong/aspirational learning,subscription + B2B,~$155M rev 2024; $2.75B valuation 2021; $500M raised,Cinematic classes by celebrity/expert instructors,Not accredited; edutainment; no credentials/assessment,https://research.contrary.com/company/masterclass
Wikipedia (Wikimedia),lifelong-reference,8,99,0,3,knowledge access (free reference),nonprofit donations + Enterprise API,~15B monthly pageviews; 65M+ articles,Free volunteer-edited encyclopedia,Not structured instruction; reference not primary research,https://wikimediafoundation.org/news/2025/11/26/how-is-wikipedia-funded/
Public Libraries (US),lifelong-public,0,99,0,3,knowledge access (public),publicly funded (free),~17K outlets; 155M+ users; 800M+ visits/yr,Free access to books/digital/programs/internet,No standardized curriculum or credentials,https://www.imls.gov/news/people-visited-public-libraries-more-billion-times-one-year
Podcasts (medium),lifelong-informal,12,99,0,4,informal lifelong learning,advertising / patronage,Fragmented; no single owner,Audio deep-dives/interviews for informal learning,No structure/assessment/credential/quality control,https://en.wikipedia.org/wiki/Podcast
Brilliant.org,lifelong,12,65,1,3,STEM active-learning,freemium subscription,10M+ users; ~$60M+ funding,Gamified interactive math/CS/science courses,Not accredited; STEM-only; not frontier/research,https://en.wikipedia.org/wiki/Brilliant_(website)
The Great Courses,lifelong,18,99,1,3,lifelong academic lectures,a la carte + streaming,7500+ hours; Brentwood Associates,Professor-taught lecture courses on academic subjects,Not accredited; lecture-only; no assessment,https://en.wikipedia.org/wiki/The_Teaching_Company
Traditional degrees (universities),credential,18,30,2,5,credential signal; deep instruction,tuition (subsidy+private+loans),45% employers dropped some degree reqs 2024,Accredited multi-year degrees; only path that institutionally certifies L4-L5,Slow/expensive; credential decoupling from competence,https://fortune.com/2024/09/20/degree-requirements-employers-hiring-managers-paper-ceiling-education-careers-leadership/
Google Career Certificates,credential,18,65,2,3,entry-level employability,consumer subs (via Coursera),2.3M+ enrollments; 1M+ graduates,Affordable entry-level professional certificates,Not a degree; entry-level; depends on Coursera,https://blog.coursera.org/1-million-graduates-the-real-world-impact-of-google-career-certificates/
Microsoft/AWS certifications,credential,18,65,2,3,vendor IT employability,exam fees,AWS ~30% cloud share; cert avg salary ~$113K,Vendor-specific IT certifications,Vendor-locked; requires separate training,https://www.pearsonvue.com/us/en/aws.html
Credly / Open Badges (Pearson),credential-infra,14,65,0,5,credential portability/verification,B2B SaaS,Pearson $200M 2022; 100M+ badges; 48M+ earners,Digital-badge/verifiable-credential platform,Provides no learning content itself,https://www.prnewswire.com/news-releases/with-100-million-digital-credentials-issued-through-credly-pearson-fosters-a-future-proof-workforce-for-enterprises-in-the-ai-era-and-beyond-302343746.html
Elsevier (ScienceDirect),scholarly-publisher,18,99,4,4,frontier knowledge access (paywall),institutional subscription + APC,Largest by journal count; RELX; >30% margins,Hosts ~2900 journals; sells access to frontier research,No free public reading; not an AI synthesis tool,https://www.elsevier.com/products/sciencedirect/journals/subscription-options
Springer Nature,scholarly-publisher,18,99,4,4,frontier knowledge access (paywall),institutional subscription + APC,2nd-largest; Nature OA fee $12850 (2026),Publishes 4500+ journals incl Nature,No free access to subscription content; no research agent,https://www.statnews.com/2026/06/11/open-access-journal-fees-nature-wiley-elsevier-nih/
Wiley,scholarly-publisher,18,99,4,4,frontier knowledge access (paywall),institutional subscription + APC,Top-5 publisher; >30% margins; AI-licensing corpus,Publishes ~3266 journals; licensing corpus to AI developers,Does not freely open paywalled articles; not a search engine,https://direct.mit.edu/qss/article/4/4/778/118070/
Taylor & Francis,scholarly-publisher,18,99,4,4,frontier knowledge access (paywall),institutional subscription + APC,Top-5 by journal count; Informa; >30% margins,Publishes ~4472 journals (humanities/social-science heavy),No free full-text of closed content; no AI layer,https://direct.mit.edu/qss/article/4/4/778/118070/
arXiv,preprint-open,18,99,4,5,frontier knowledge access (free),free (nonprofit),2M+ papers; Cornell-hosted; grant-funded,Free open preprint repository (physics/math/CS/etc),No peer review/paywall/summarization; no biomed,https://arxiv.org/
bioRxiv/medRxiv (openRxiv),preprint-open,18,99,4,5,frontier knowledge access (free),free (nonprofit),~330K preprints; $16M CZI grant; ~5K/month,Free preprint servers for bio + clinical sciences,No peer review/clinical guarantee; no AI layer,https://manusights.com/blog/preprint-servers-explained-biorxiv-medrxiv-arxiv
PubMed / PMC,index-open,18,99,3,5,frontier knowledge access (free index),free (US govt NIH),38M+ citations; default biomed discovery layer,Indexes biomedical citations; PMC free full-text archive,PubMed hosts mostly abstracts not full text,https://www.ncbi.nlm.nih.gov/pmc/
DOAJ,oa-registry,18,99,4,4,OA legitimacy gatekeeping,free (nonprofit),De-facto OA legitimacy gatekeeper,Curated whitelist vetting open-access journals,Hosts no papers; no search/AI,https://doaj.org/
PLOS,oa-publisher,18,99,4,5,frontier knowledge access (free),APC-funded gold OA,Pioneering megajournal publisher (nonprofit),Nonprofit fully-open-access publisher,No subscriptions/paywalls; not a search/AI tool,https://plos.org/
Unpaywall,oa-finder,18,99,4,4,frontier access (legal OA finder),free (nonprofit),Tens of millions of OA locations; embedded in libraries,Finds legal free versions of paywalled papers,Hosts no content; doesn't bypass paywalls illegally,https://unpaywall.org/
Sci-Hub,shadow-library,18,99,4,5,frontier access (illicit),free (donation; ILLEGAL),~88M files; 30M+ downloads/yr; >90% closed coverage,Bypasses paywalls to free-download papers,ILLEGAL in most jurisdictions; no AI/curation,https://en.wikipedia.org/wiki/Sci-Hub
ResearchGate,discovery-social,18,99,4,4,frontier access + discovery,free (ads + publisher deals),25M+ members in 193 countries,Academic social network; researchers share papers,Copyright gray area on uploads; no AI synthesis,https://www.researchgate.net/
Google Scholar,discovery,18,99,3,5,frontier knowledge discovery,free,Most-used academic search tool globally,Free scholarly search + citation + free-PDF links,Opaque index; no API; no quality filter; no summarization,https://scholar.google.com/
Semantic Scholar (AI2),discovery-ai,18,99,4,5,frontier discovery + open data,free (nonprofit AI2),200M+ papers; powers many AI lit tools,AI search with TLDRs/citation context + open API,Hosts no paywalled full text; no autonomous research,https://www.semanticscholar.org/
OpenAlex,scholarly-graph-open,18,99,4,5,open scholarly metadata infra,free + premium (nonprofit),474M works; powers 2025 Leiden Ranking,Open catalog of works/authors/institutions + free API,Hosts no full text; no AI synthesis,https://openalex.org/
CORE,oa-aggregator,18,99,4,5,OA full-text aggregation,free (nonprofit),400M+ resources; 34M+ full-text,Aggregates world's largest OA full-text collection,No paywalled content; aggregation not AI agent,https://core.ac.uk/
Connected Papers,discovery-viz,18,99,4,5,frontier discovery (lit mapping),freemium (~$3/mo),Widely used niche lit-mapping tool,Visual similarity graphs from a seed paper,No reading/summarizing/Q&A; map only,https://www.connectedpapers.com/pricing
Research Rabbit,discovery-viz,18,99,4,5,frontier discovery (lit mapping),free,Popular free alternative to Connected Papers,Visual lit-mapping (earlier/later/similar) + Zotero,No summarize/extract/Q&A; discovery only,https://www.researchrabbit.ai/
Undermind,discovery-ai,18,99,4,5,frontier deep discovery,paid/credit,YC-backed; expert/scientist-focused,Agentic multi-hop deep search reading full text,Doesn't synthesize conclusions or run experiments,https://www.ycombinator.com/companies/undermind
Elicit,ai-research-tool,18,99,4,5,AI-assisted DOING research (review),freemium ($12-79/mo) + API,2M+ users; 50K+ paying; 125M+ papers,Searches/summarizes/extracts + PRISMA review + autonomous Research Agents,No novel experiments/wet-lab; literature-bound,https://elicit.com/pricing
Consensus,ai-research-tool,18,99,4,4,AI evidence synthesis,freemium ($9-15/mo),$30M raised 2025,Synthesizes findings across papers (consensus meter),No original research; no study design,https://consensus.app/home/blog/30m-in-new-funding-to-reach-the-next-10m-researchers/
SciSpace,ai-research-tool,18,99,4,5,AI research workspace,freemium (~$12-70/mo),280M+ papers; broad student/researcher use,Search/explain/chat-with-PDF + lit review + writing,No autonomous discovery or experiments,https://scispace.com/pricing
Scite,ai-research-tool,18,99,4,5,citation trust/verification,paid (often institutional),1.6B+ citations; 2M users; acq Research Solutions,Classifies citations supporting/contrasting + Assistant Q&A,Hosts no corpora; runs no research,https://scite.ai/
Perplexity (Deep Research),ai-research-tool,16,99,2,5,general AI research/answer,freemium ($20/mo Pro),One of largest consumer AI-search; multi-billion val,Runs dozens of searches; returns cited report,Not scholarly-grade/systematic-review rigor; general,https://www.perplexity.ai/hub/blog/introducing-perplexity-deep-research
STORM (Stanford),ai-research-tool,16,99,2,4,AI report generation,free (open source),70K+ users tried preview,Generates cited Wikipedia-style reports from scratch,Not peer-reviewed-corpus focused; no fact verification,https://techstartups.com/2024/12/31/stanford-university-launches-storm-a-new-ai-tool-that-enables-anyone-to-create-wikipedia-style-reports-on-any-topic/
FutureHouse / Edison Scientific,ai-scientist-agent,22,99,4,5,AI-assisted DOING research (discovery),free agents (nonprofit) + for-profit spinout,PaperQA2 beat PhDs; Robin->ripasudil; Edison $70M seed,Autonomous science agents: lit review + hypothesis generation + genuine discovery,Does not itself run wet-lab validation; outputs need verification,https://www.futurehouse.org/about
